;Tweet;Sentimen;ProcessedText;step01;tokens;tokens_perbaikan;Stop_removal;step02;step03_stemmed
860;Dicurhatin si pasien covid yg lagi jenuh, bete karna harus di ruang isolasi mulu. Idupnya rebahan, main hape, makan, mandi. Repeat;0.0;dicurhatin sih pasien covid jenuh bete ruang isolasi mulu idupnya rebah main hape makan mandi repeat;dicurhatin si pasien covid yg lagi jenuh bete karna harus di ruang isolasi mulu idupnya rebahan main hape makan mandi repeat;['dicurhatin', 'si', 'pasien', 'covid', 'yg', 'lagi', 'jenuh', 'bete', 'karna', 'harus', 'di', 'ruang', 'isolasi', 'mulu', 'idupnya', 'rebahan', 'main', 'hape', 'makan', 'mandi', 'repeat'];['dicurhatin', 'sih', 'pasien', 'covid', 'yang', 'lagi', 'jenuh', 'bete', 'karena', 'harus', 'di', 'ruang', 'isolasi', 'mulu', 'idupnya', 'rebahan', 'main', 'hape', 'makan', 'mandi', 'repeat'];['dicurhatin', 'sih', 'pasien', 'covid', 'jenuh', 'bete', 'ruang', 'isolasi', 'mulu', 'idupnya', 'rebahan', 'main', 'hape', 'makan', 'mandi', 'repeat'];dicurhatin sih pasien covid jenuh bete ruang isolasi mulu idupnya rebahan main hape makan mandi repeat;dicurhatin sih pasien covid jenuh bete ruang isolasi mulu idupnya rebah main hape makan mandi repeat
861;Anggota Komisi II Minta Kepala Daerah Ambil Langkah Strategis Tangani Corona Covid-19 - News;1.0;anggota komisi ii kepala daerah ambil langkah strategis tangan corona covid news;anggota komisi ii minta kepala daerah ambil langkah strategis tangani corona covid news;['anggota', 'komisi', 'ii', 'minta', 'kepala', 'daerah', 'ambil', 'langkah', 'strategis', 'tangani', 'corona', 'covid', 'news'];['anggota', 'komisi', 'ii', 'minta', 'kepala', 'daerah', 'ambil', 'langkah', 'strategis', 'tangani', 'corona', 'covid', 'news'];['anggota', 'komisi', 'ii', 'kepala', 'daerah', 'ambil', 'langkah', 'strategis', 'tangani', 'corona', 'covid', 'news'];anggota komisi ii kepala daerah ambil langkah strategis tangani corona covid news;anggota komisi ii kepala daerah ambil langkah strategis tangan corona covid news
862;Angka Positif Covid-19 Tembus 3.842, Pemerintah: Masyarakat Belum Disiplin .;0.0;angka positif covid tembus perintah masyarakat disiplin;angka positif covid tembus pemerintah masyarakat belum disiplin;['angka', 'positif', 'covid', 'tembus', 'pemerintah', 'masyarakat', 'belum', 'disiplin'];['angka', 'positif', 'covid', 'tembus', 'pemerintah', 'masyarakat', 'belum', 'disiplin'];['angka', 'positif', 'covid', 'tembus', 'pemerintah', 'masyarakat', 'disiplin'];angka positif covid tembus pemerintah masyarakat disiplin;angka positif covid tembus perintah masyarakat disiplin
863;Tapi kalau tersangkut covid mcm mana. Aku lagi sarankan keluar pakai mask. Supaya kau tak menyebar dan di sebarkan;1.0;sangkut covid mcm saran pakai mask kau sebar sebar;tapi kalau tersangkut covid mcm mana aku lagi sarankan keluar pakai mask supaya kau tak menyebar dan di sebarkan;['tapi', 'kalau', 'tersangkut', 'covid', 'mcm', 'mana', 'aku', 'lagi', 'sarankan', 'keluar', 'pakai', 'mask', 'supaya', 'kau', 'tak', 'menyebar', 'dan', 'di', 'sebarkan'];['tapi', 'kalau', 'tersangkut', 'covid', 'mcm', 'mana', 'aku', 'lagi', 'sarankan', 'keluar', 'pakai', 'mask', 'supaya', 'kau', 'tak', 'menyebar', 'dan', 'di', 'sebarkan'];['tersangkut', 'covid', 'mcm', 'sarankan', 'pakai', 'mask', 'kau', 'menyebar', 'sebarkan'];tersangkut covid mcm sarankan pakai mask kau menyebar sebarkan;sangkut covid mcm saran pakai mask kau sebar sebar
864;Covid-19 ikut memukul perekonomian, dan pemerintah pun memberikan stimulus bagi dunia usaha dan industri. Berapa jumlah UMKM di Indonesia?;0.0;covid pukul ekonomi perintah stimulus dunia usaha industri umkm indonesia;covid ikut memukul perekonomian dan pemerintah pun memberikan stimulus bagi dunia usaha dan industri berapa jumlah umkm di indonesia;['covid', 'ikut', 'memukul', 'perekonomian', 'dan', 'pemerintah', 'pun', 'memberikan', 'stimulus', 'bagi', 'dunia', 'usaha', 'dan', 'industri', 'berapa', 'jumlah', 'umkm', 'di', 'indonesia'];['covid', 'ikut', 'memukul', 'perekonomian', 'dan', 'pemerintah', 'pun', 'memberikan', 'stimulus', 'bagi', 'dunia', 'usaha', 'dan', 'industri', 'berapa', 'jumlah', 'umkm', 'di', 'indonesia'];['covid', 'memukul', 'perekonomian', 'pemerintah', 'stimulus', 'dunia', 'usaha', 'industri', 'umkm', 'indonesia'];covid memukul perekonomian pemerintah stimulus dunia usaha industri umkm indonesia;covid pukul ekonomi perintah stimulus dunia usaha industri umkm indonesia
865;[DISTENSIF Distensif ke 2 kali ini kita akan berdiskusi terkait penangan COVID-19 dalam pandangan kesehatan masyarakat dengan narasumber Dr. Irvan Afriandi, dr., Grad. Dipl. OEH., MPH., Selaku Wakil Dekan Fakultas Kedokteran Unpad.;1.0;distensif distensif kali diskus kait nang covid pandang sehat masyarakat narasumber irvan afriandi grad dipl oeh mph wakil dekan fakultas dokter unpad;distensif distensif ke kali ini kita akan berdiskusi terkait penangan covid dalam pandangan kesehatan masyarakat dengan narasumber dr irvan afriandi dr grad dipl oeh mph selaku wakil dekan fakultas kedokteran unpad;['distensif', 'distensif', 'ke', 'kali', 'ini', 'kita', 'akan', 'berdiskusi', 'terkait', 'penangan', 'covid', 'dalam', 'pandangan', 'kesehatan', 'masyarakat', 'dengan', 'narasumber', 'dr', 'irvan', 'afriandi', 'dr', 'grad', 'dipl', 'oeh', 'mph', 'selaku', 'wakil', 'dekan', 'fakultas', 'kedokteran', 'unpad'];['distensif', 'distensif', 'ke', 'kali', 'ini', 'kita', 'akan', 'berdiskusi', 'terkait', 'penangan', 'covid', 'dalam', 'pandangan', 'kesehatan', 'masyarakat', 'dengan', 'narasumber', 'dari', 'irvan', 'afriandi', 'dari', 'grad', 'dipl', 'oeh', 'mph', 'selaku', 'wakil', 'dekan', 'fakultas', 'kedokteran', 'unpad'];['distensif', 'distensif', 'kali', 'berdiskusi', 'terkait', 'penangan', 'covid', 'pandangan', 'kesehatan', 'masyarakat', 'narasumber', 'irvan', 'afriandi', 'grad', 'dipl', 'oeh', 'mph', 'wakil', 'dekan', 'fakultas', 'kedokteran', 'unpad'];distensif distensif kali berdiskusi terkait penangan covid pandangan kesehatan masyarakat narasumber irvan afriandi grad dipl oeh mph wakil dekan fakultas kedokteran unpad;distensif distensif kali diskus kait nang covid pandang sehat masyarakat narasumber irvan afriandi grad dipl oeh mph wakil dekan fakultas dokter unpad
866;Apalagi orang yg lebih berbahaya dari covid 19. Lurus, Belok,Pergi;-1.0;orang bahaya covid lurus belokpergi;apalagi orang yg lebih berbahaya dari covid lurus belokpergi;['apalagi', 'orang', 'yg', 'lebih', 'berbahaya', 'dari', 'covid', 'lurus', 'belokpergi'];['apalagi', 'orang', 'yang', 'lebih', 'berbahaya', 'dari', 'covid', 'lurus', 'belokpergi'];['orang', 'berbahaya', 'covid', 'lurus', 'belokpergi'];orang berbahaya covid lurus belokpergi;orang bahaya covid lurus belokpergi
867;salah satu temen ngegame ada yang positif covid-19. aku yakin dia bakal sembuh dan baik-baik saja, tapi ngerti dia panik dan ketakutan, aku langsung sedih;1.0;salah teman ngegame positif covid sembuh baikbaik ngerti panik takut langsung sedih;salah satu temen ngegame ada yang positif covid aku yakin dia bakal sembuh dan baikbaik saja tapi ngerti dia panik dan ketakutan aku langsung sedih;['salah', 'satu', 'temen', 'ngegame', 'ada', 'yang', 'positif', 'covid', 'aku', 'yakin', 'dia', 'bakal', 'sembuh', 'dan', 'baikbaik', 'saja', 'tapi', 'ngerti', 'dia', 'panik', 'dan', 'ketakutan', 'aku', 'langsung', 'sedih'];['salah', 'satu', 'teman', 'ngegame', 'ada', 'yang', 'positif', 'covid', 'aku', 'yakin', 'dia', 'bakal', 'sembuh', 'dan', 'baikbaik', 'saja', 'tapi', 'ngerti', 'dia', 'panik', 'dan', 'ketakutan', 'aku', 'langsung', 'sedih'];['salah', 'teman', 'ngegame', 'positif', 'covid', 'sembuh', 'baikbaik', 'ngerti', 'panik', 'ketakutan', 'langsung', 'sedih'];salah teman ngegame positif covid sembuh baikbaik ngerti panik ketakutan langsung sedih;salah teman ngegame positif covid sembuh baikbaik ngerti panik takut langsung sedih
868;Masa covid ni la kita nak hiburkan orang dengan kebodohan;-1.0;covid la nak hibur orang bodoh;masa covid ni la kita nak hiburkan orang dengan kebodohan;['masa', 'covid', 'ni', 'la', 'kita', 'nak', 'hiburkan', 'orang', 'dengan', 'kebodohan'];['masa', 'covid', 'ini', 'la', 'kita', 'nak', 'hiburkan', 'orang', 'dengan', 'kebodohan'];['covid', 'la', 'nak', 'hiburkan', 'orang', 'kebodohan'];covid la nak hiburkan orang kebodohan;covid la nak hibur orang bodoh
869;Pak gubernur trend positif covid di sulsel semakin hari semakin mengkhawatirkan, apa lg di daerah bnyk pemudik dr jkt dan mksr,, kami d daerah cemas sekali pak apa lg ada OTG, pak sebaiknya PSBB maki juga kodong cepat ki sblum terlambat kasian;1.0;gubernur trend positif covid sulsel khawatir lg daerah mudik jkt mksr d daerah cemas lg otg psbb maki kodong cepat ki sblum lambat kasihan;pak gubernur trend positif covid di sulsel semakin hari semakin mengkhawatirkan apa lg di daerah bnyk pemudik dr jkt dan mksr kami d daerah cemas sekali pak apa lg ada otg pak sebaiknya psbb maki juga kodong cepat ki sblum terlambat kasian;['pak', 'gubernur', 'trend', 'positif', 'covid', 'di', 'sulsel', 'semakin', 'hari', 'semakin', 'mengkhawatirkan', 'apa', 'lg', 'di', 'daerah', 'bnyk', 'pemudik', 'dr', 'jkt', 'dan', 'mksr', 'kami', 'd', 'daerah', 'cemas', 'sekali', 'pak', 'apa', 'lg', 'ada', 'otg', 'pak', 'sebaiknya', 'psbb', 'maki', 'juga', 'kodong', 'cepat', 'ki', 'sblum', 'terlambat', 'kasian'];['pak', 'gubernur', 'trend', 'positif', 'covid', 'di', 'sulsel', 'semakin', 'hari', 'semakin', 'mengkhawatirkan', 'apa', 'lg', 'di', 'daerah', 'banyak', 'pemudik', 'dari', 'jkt', 'dan', 'mksr', 'kami', 'd', 'daerah', 'cemas', 'sekali', 'pak', 'apa', 'lg', 'ada', 'otg', 'pak', 'sebaiknya', 'psbb', 'maki', 'juga', 'kodong', 'cepat', 'ki', 'sblum', 'terlambat', 'kasihan'];['gubernur', 'trend', 'positif', 'covid', 'sulsel', 'mengkhawatirkan', 'lg', 'daerah', 'pemudik', 'jkt', 'mksr', 'd', 'daerah', 'cemas', 'lg', 'otg', 'psbb', 'maki', 'kodong', 'cepat', 'ki', 'sblum', 'terlambat', 'kasihan'];gubernur trend positif covid sulsel mengkhawatirkan lg daerah pemudik jkt mksr d daerah cemas lg otg psbb maki kodong cepat ki sblum terlambat kasihan;gubernur trend positif covid sulsel khawatir lg daerah mudik jkt mksr d daerah cemas lg otg psbb maki kodong cepat ki sblum lambat kasihan
870;"NKRI Lawan Corona; Hasil Tes Swab Empat Wanita Praja IPDN Negatif Covid-19 ";1.0;nkri lawan corona hasil tes swab wanita praja ipdn negatif covid;nkri lawan corona hasil tes swab empat wanita praja ipdn negatif covid;['nkri', 'lawan', 'corona', 'hasil', 'tes', 'swab', 'empat', 'wanita', 'praja', 'ipdn', 'negatif', 'covid'];['nkri', 'lawan', 'corona', 'hasil', 'tes', 'swab', 'empat', 'wanita', 'praja', 'ipdn', 'negatif', 'covid'];['nkri', 'lawan', 'corona', 'hasil', 'tes', 'swab', 'wanita', 'praja', 'ipdn', 'negatif', 'covid'];nkri lawan corona hasil tes swab wanita praja ipdn negatif covid;nkri lawan corona hasil tes swab wanita praja ipdn negatif covid
871;Surat terbuka dokter (PDUI) hrs jd perhatian. WHO kemarin livestreaming katakan, 2 jutaan item alat & APD telah dikirim ke 133 negara. BIN malah buka lowongan kerja bagi yg mau jd relawan Covid-19. Aneh. Bingung hadapi wabah Covid-19, berUTANG cepat, gak bingung. Iya gak sih?;0.0;surat buka dokter pdui jadi perhati who kemarin livestreaming juta item alat apd kirim negara bin buka lowong kerja jadi rawan covid aneh bingung hadap wabah covid utang cepat bingung iya sih;surat terbuka dokter pdui hrs jd perhatian who kemarin livestreaming katakan jutaan item alat apd telah dikirim ke negara bin malah buka lowongan kerja bagi yg mau jd relawan covid aneh bingung hadapi wabah covid berutang cepat gak bingung iya gak sih;['surat', 'terbuka', 'dokter', 'pdui', 'hrs', 'jd', 'perhatian', 'who', 'kemarin', 'livestreaming', 'katakan', 'jutaan', 'item', 'alat', 'apd', 'telah', 'dikirim', 'ke', 'negara', 'bin', 'malah', 'buka', 'lowongan', 'kerja', 'bagi', 'yg', 'mau', 'jd', 'relawan', 'covid', 'aneh', 'bingung', 'hadapi', 'wabah', 'covid', 'berutang', 'cepat', 'gak', 'bingung', 'iya', 'gak', 'sih'];['surat', 'terbuka', 'dokter', 'pdui', 'harus', 'jadi ', 'perhatian', 'who', 'kemarin', 'livestreaming', 'katakan', 'jutaan', 'item', 'alat', 'apd', 'telah', 'dikirim', 'ke', 'negara', 'bin', 'malah', 'buka', 'lowongan', 'kerja', 'bagi', 'yang', 'mau', 'jadi ', 'relawan', 'covid', 'aneh', 'bingung', 'hadapi', 'wabah', 'covid', 'berutang', 'cepat', 'tidak', 'bingung', 'iya', 'tidak', 'sih'];['surat', 'terbuka', 'dokter', 'pdui', 'jadi ', 'perhatian', 'who', 'kemarin', 'livestreaming', 'jutaan', 'item', 'alat', 'apd', 'dikirim', 'negara', 'bin', 'buka', 'lowongan', 'kerja', 'jadi ', 'relawan', 'covid', 'aneh', 'bingung', 'hadapi', 'wabah', 'covid', 'berutang', 'cepat', 'bingung', 'iya', 'sih'];surat terbuka dokter pdui jadi  perhatian who kemarin livestreaming jutaan item alat apd dikirim negara bin buka lowongan kerja jadi  relawan covid aneh bingung hadapi wabah covid berutang cepat bingung iya sih;surat buka dokter pdui jadi perhati who kemarin livestreaming juta item alat apd kirim negara bin buka lowong kerja jadi rawan covid aneh bingung hadap wabah covid utang cepat bingung iya sih
872;Nanya dong... Pertama kali covid-19 ada di Indonesia kpn ya? Maret tgl brp gtu...?;0.0;nanya kali covid indonesia iya maret tanggal brp gitu;nanya dong pertama kali covid ada di indonesia kpn ya maret tgl brp gtu;['nanya', 'dong', 'pertama', 'kali', 'covid', 'ada', 'di', 'indonesia', 'kpn', 'ya', 'maret', 'tgl', 'brp', 'gtu'];['nanya', 'dong', 'pertama', 'kali', 'covid', 'ada', 'di', 'indonesia', 'kapan', 'iya', 'maret', 'tanggal', 'brp', 'gitu'];['nanya', 'kali', 'covid', 'indonesia', 'iya', 'maret', 'tanggal', 'brp', 'gitu'];nanya kali covid indonesia iya maret tanggal brp gitu;nanya kali covid indonesia iya maret tanggal brp gitu
873;Jika kawalan ketat melalui kebenaran yg diberikan Kerajaan kepada sebahagian industri berjaya dilaksanakan tanpa mencetuskan kenaikan mendadak kes positif COVID-19, kita mampu menyelamatkan Nyawa, kedudukan Sosio-Ekonomi Rakyat dan Kewangan Negara.;1.0;kawal ketat benar raja sebahagian industri jaya laksana cetus naik dadak kes positif covid selamat nyawa duduk sosioekonomi rakyat wang negara;jika kawalan ketat melalui kebenaran yg diberikan kerajaan kepada sebahagian industri berjaya dilaksanakan tanpa mencetuskan kenaikan mendadak kes positif covid kita mampu menyelamatkan nyawa kedudukan sosioekonomi rakyat dan kewangan negara;['jika', 'kawalan', 'ketat', 'melalui', 'kebenaran', 'yg', 'diberikan', 'kerajaan', 'kepada', 'sebahagian', 'industri', 'berjaya', 'dilaksanakan', 'tanpa', 'mencetuskan', 'kenaikan', 'mendadak', 'kes', 'positif', 'covid', 'kita', 'mampu', 'menyelamatkan', 'nyawa', 'kedudukan', 'sosioekonomi', 'rakyat', 'dan', 'kewangan', 'negara'];['jika', 'kawalan', 'ketat', 'melalui', 'kebenaran', 'yang', 'diberikan', 'kerajaan', 'kepada', 'sebahagian', 'industri', 'berjaya', 'dilaksanakan', 'tanpa', 'mencetuskan', 'kenaikan', 'mendadak', 'kes', 'positif', 'covid', 'kita', 'mampu', 'menyelamatkan', 'nyawa', 'kedudukan', 'sosioekonomi', 'rakyat', 'dan', 'kewangan', 'negara'];['kawalan', 'ketat', 'kebenaran', 'kerajaan', 'sebahagian', 'industri', 'berjaya', 'dilaksanakan', 'mencetuskan', 'kenaikan', 'mendadak', 'kes', 'positif', 'covid', 'menyelamatkan', 'nyawa', 'kedudukan', 'sosioekonomi', 'rakyat', 'kewangan', 'negara'];kawalan ketat kebenaran kerajaan sebahagian industri berjaya dilaksanakan mencetuskan kenaikan mendadak kes positif covid menyelamatkan nyawa kedudukan sosioekonomi rakyat kewangan negara;kawal ketat benar raja sebahagian industri jaya laksana cetus naik dadak kes positif covid selamat nyawa duduk sosioekonomi rakyat wang negara
874;Kami informasikan sebaran kasus Covid-19 di Kabupaten Bantul, berdasarkan data dari Dinas Kesehatan Kabupaten Bantul per Sabtu (11/4) pukul 16.30 WIB. Terdapat 1 pasien positif dari Kecamatan Bambanglipuro yang sembuh.;1.0;informasi sebar covid kabupaten bantul dasar data dinas sehat kabupaten bantul sabtu wib pasien positif camat bambanglipuro sembuh;kami informasikan sebaran kasus covid di kabupaten bantul berdasarkan data dari dinas kesehatan kabupaten bantul per sabtu pukul wib terdapat pasien positif dari kecamatan bambanglipuro yang sembuh;['kami', 'informasikan', 'sebaran', 'kasus', 'covid', 'di', 'kabupaten', 'bantul', 'berdasarkan', 'data', 'dari', 'dinas', 'kesehatan', 'kabupaten', 'bantul', 'per', 'sabtu', 'pukul', 'wib', 'terdapat', 'pasien', 'positif', 'dari', 'kecamatan', 'bambanglipuro', 'yang', 'sembuh'];['kami', 'informasikan', 'sebaran', 'kasus', 'covid', 'di', 'kabupaten', 'bantul', 'berdasarkan', 'data', 'dari', 'dinas', 'kesehatan', 'kabupaten', 'bantul', 'per', 'sabtu', 'pukul', 'wib', 'terdapat', 'pasien', 'positif', 'dari', 'kecamatan', 'bambanglipuro', 'yang', 'sembuh'];['informasikan', 'sebaran', 'covid', 'kabupaten', 'bantul', 'berdasarkan', 'data', 'dinas', 'kesehatan', 'kabupaten', 'bantul', 'sabtu', 'wib', 'pasien', 'positif', 'kecamatan', 'bambanglipuro', 'sembuh'];informasikan sebaran covid kabupaten bantul berdasarkan data dinas kesehatan kabupaten bantul sabtu wib pasien positif kecamatan bambanglipuro sembuh;informasi sebar covid kabupaten bantul dasar data dinas sehat kabupaten bantul sabtu wib pasien positif camat bambanglipuro sembuh
875;Setelah covid selesai, pasti semua akan memudar. Sedih, tapi ya mau bagaimana lagi heuheu;0.0;covid selesai pudar sedih iya heuheu;setelah covid selesai pasti semua akan memudar sedih tapi ya mau bagaimana lagi heuheu;['setelah', 'covid', 'selesai', 'pasti', 'semua', 'akan', 'memudar', 'sedih', 'tapi', 'ya', 'mau', 'bagaimana', 'lagi', 'heuheu'];['setelah', 'covid', 'selesai', 'pasti', 'semua', 'akan', 'memudar', 'sedih', 'tapi', 'iya', 'mau', 'bagaimana', 'lagi', 'heuheu'];['covid', 'selesai', 'memudar', 'sedih', 'iya', 'heuheu'];covid selesai memudar sedih iya heuheu;covid selesai pudar sedih iya heuheu
876;Kalau gak ada Covid-19 entah berapa puluh tahun yang akan datang ya Dok?;0.0;covid puluh iya dok;kalau gak ada covid entah berapa puluh tahun yang akan datang ya dok;['kalau', 'gak', 'ada', 'covid', 'entah', 'berapa', 'puluh', 'tahun', 'yang', 'akan', 'datang', 'ya', 'dok'];['kalau', 'tidak', 'ada', 'covid', 'entah', 'berapa', 'puluh', 'tahun', 'yang', 'akan', 'datang', 'iya', 'dok'];['covid', 'puluh', 'iya', 'dok'];covid puluh iya dok;covid puluh iya dok
877;Gak heran sih, udah bertahun-tahun aja masih banyak yg blm paham penularan HIV/AIDS, ngejauhin penderitanya karna takut tertular. Apalagi Covid-19 yg baru beberapa bulan ini, bukti masyarakat masih sulit dpt informasi yg benar atau emang mereka emang susah dikasih taunya ;1.0;heran sih bertahuntahun paham tular hivaids ngejauhin derita takut tular covid bukti masyarakat sulit dapat informasi susah kasih tau;gak heran sih udah bertahuntahun aja masih banyak yg blm paham penularan hivaids ngejauhin penderitanya karna takut tertular apalagi covid yg baru beberapa bulan ini bukti masyarakat masih sulit dpt informasi yg benar atau emang mereka emang susah dikasih taunya;['gak', 'heran', 'sih', 'udah', 'bertahuntahun', 'aja', 'masih', 'banyak', 'yg', 'blm', 'paham', 'penularan', 'hivaids', 'ngejauhin', 'penderitanya', 'karna', 'takut', 'tertular', 'apalagi', 'covid', 'yg', 'baru', 'beberapa', 'bulan', 'ini', 'bukti', 'masyarakat', 'masih', 'sulit', 'dpt', 'informasi', 'yg', 'benar', 'atau', 'emang', 'mereka', 'emang', 'susah', 'dikasih', 'taunya'];['tidak', 'heran', 'sih', 'sudah', 'bertahuntahun', 'saja', 'masih', 'banyak', 'yang', 'belum', 'paham', 'penularan', 'hivaids', 'ngejauhin', 'penderitanya', 'karena', 'takut', 'tertular', 'apalagi', 'covid', 'yang', 'baru', 'beberapa', 'bulan', 'ini', 'bukti', 'masyarakat', 'masih', 'sulit', 'dapat ', 'informasi', 'yang', 'benar', 'atau', 'memang', 'mereka', 'memang', 'susah', 'dikasih', 'taunya'];['heran', 'sih', 'bertahuntahun', 'paham', 'penularan', 'hivaids', 'ngejauhin', 'penderitanya', 'takut', 'tertular', 'covid', 'bukti', 'masyarakat', 'sulit', 'dapat ', 'informasi', 'susah', 'dikasih', 'taunya'];heran sih bertahuntahun paham penularan hivaids ngejauhin penderitanya takut tertular covid bukti masyarakat sulit dapat  informasi susah dikasih taunya;heran sih bertahuntahun paham tular hivaids ngejauhin derita takut tular covid bukti masyarakat sulit dapat informasi susah kasih tau
878;Saat Indonesia berjibaku melawan pandemi Covid-19 sungguh sia-sia bila seorang yang terbukti ahli dan kaya pengalaman justru berada di penjara;0.0;indonesia jibaku lawan pandemi covid sungguh siasia bukti ahli kaya alam penjara;saat indonesia berjibaku melawan pandemi covid sungguh siasia bila seorang yang terbukti ahli dan kaya pengalaman justru berada di penjara;['saat', 'indonesia', 'berjibaku', 'melawan', 'pandemi', 'covid', 'sungguh', 'siasia', 'bila', 'seorang', 'yang', 'terbukti', 'ahli', 'dan', 'kaya', 'pengalaman', 'justru', 'berada', 'di', 'penjara'];['saat', 'indonesia', 'berjibaku', 'melawan', 'pandemi', 'covid', 'sungguh', 'siasia', 'bila', 'seorang', 'yang', 'terbukti', 'ahli', 'dan', 'kaya', 'pengalaman', 'justru', 'berada', 'di', 'penjara'];['indonesia', 'berjibaku', 'melawan', 'pandemi', 'covid', 'sungguh', 'siasia', 'terbukti', 'ahli', 'kaya', 'pengalaman', 'penjara'];indonesia berjibaku melawan pandemi covid sungguh siasia terbukti ahli kaya pengalaman penjara;indonesia jibaku lawan pandemi covid sungguh siasia bukti ahli kaya alam penjara
879;tapi sejak covid udah hilang di peredaran, padahal buat berkebun juga enak terus ga bau meskipun keringetan kayak sarung2 tangan yg di ace (yg harga 30an) tapi emang agak pendek yg ikea;0.0;covid hilang edar kebun enak bau keringetan kayak sarung tangan ace harga an pendek ikea;tapi sejak covid udah hilang di peredaran padahal buat berkebun juga enak terus ga bau meskipun keringetan kayak sarung tangan yg di ace yg harga an tapi emang agak pendek yg ikea;['tapi', 'sejak', 'covid', 'udah', 'hilang', 'di', 'peredaran', 'padahal', 'buat', 'berkebun', 'juga', 'enak', 'terus', 'ga', 'bau', 'meskipun', 'keringetan', 'kayak', 'sarung', 'tangan', 'yg', 'di', 'ace', 'yg', 'harga', 'an', 'tapi', 'emang', 'agak', 'pendek', 'yg', 'ikea'];['tapi', 'sejak', 'covid', 'sudah', 'hilang', 'di', 'peredaran', 'padahal', 'buat', 'berkebun', 'juga', 'enak', 'terus', 'tidak', 'bau', 'meskipun', 'keringetan', 'kayak', 'sarung', 'tangan', 'yang', 'di', 'ace', 'yang', 'harga', 'an', 'tapi', 'memang', 'agak', 'pendek', 'yang', 'ikea'];['covid', 'hilang', 'peredaran', 'berkebun', 'enak', 'bau', 'keringetan', 'kayak', 'sarung', 'tangan', 'ace', 'harga', 'an', 'pendek', 'ikea'];covid hilang peredaran berkebun enak bau keringetan kayak sarung tangan ace harga an pendek ikea;covid hilang edar kebun enak bau keringetan kayak sarung tangan ace harga an pendek ikea
880;Terima kasih kepada para dokter, perawat, serta tenaga medis lainnya yang turut membantu dalam memberantas pandemi COVID-19!Untuk membantu para tenaga medis, kalian tetep ya! Jangan lupa untuk stock Yupi kesukaan kalian biar hepi teruss meskipun di rumah ajaaa!;1.0;terima kasih dokter awat tenaga medis bantu berantas pandemi coviduntuk bantu tenaga medis iya lupa stock yupi suka biar hepi rumah ajaaa;terima kasih kepada para dokter perawat serta tenaga medis lainnya yang turut membantu dalam memberantas pandemi coviduntuk membantu para tenaga medis kalian tetep ya jangan lupa untuk stock yupi kesukaan kalian biar hepi teruss meskipun di rumah ajaaa;['terima', 'kasih', 'kepada', 'para', 'dokter', 'perawat', 'serta', 'tenaga', 'medis', 'lainnya', 'yang', 'turut', 'membantu', 'dalam', 'memberantas', 'pandemi', 'coviduntuk', 'membantu', 'para', 'tenaga', 'medis', 'kalian', 'tetep', 'ya', 'jangan', 'lupa', 'untuk', 'stock', 'yupi', 'kesukaan', 'kalian', 'biar', 'hepi', 'teruss', 'meskipun', 'di', 'rumah', 'ajaaa'];['terima', 'kasih', 'kepada', 'para', 'dokter', 'perawat', 'serta', 'tenaga', 'medis', 'lainnya', 'yang', 'turut', 'membantu', 'dalam', 'memberantas', 'pandemi', 'coviduntuk', 'membantu', 'para', 'tenaga', 'medis', 'kalian', 'tetap', 'iya', 'jangan', 'lupa', 'untuk', 'stock', 'yupi', 'kesukaan', 'kalian', 'biar', 'hepi', 'terus', 'meskipun', 'di', 'rumah', 'ajaaa'];['terima', 'kasih', 'dokter', 'perawat', 'tenaga', 'medis', 'membantu', 'memberantas', 'pandemi', 'coviduntuk', 'membantu', 'tenaga', 'medis', 'iya', 'lupa', 'stock', 'yupi', 'kesukaan', 'biar', 'hepi', 'rumah', 'ajaaa'];terima kasih dokter perawat tenaga medis membantu memberantas pandemi coviduntuk membantu tenaga medis iya lupa stock yupi kesukaan biar hepi rumah ajaaa;terima kasih dokter awat tenaga medis bantu berantas pandemi coviduntuk bantu tenaga medis iya lupa stock yupi suka biar hepi rumah ajaaa
